四时运灰琯 一夕变冬春 送寒余雪尽 迎岁早梅新
自从君弃妾 憔悴不羞人 唯馀坏粉泪 未免映衫匀
独将支遁去 欲往戴颙家 晴野人临水 春山树发花
晦日同携手 临流一望春 可怜杨柳陌 愁杀故乡人
日落众山昏 萧萧暮雨繁 那堪两处宿 共听一声猿
传书报刘尹 何事忆陶家 若为篱边菊 山中有此花
山舍千年树 江亭万里云 回潮迎伍相 骤雨送湘君
白发匆匆色 青山草草心 远公仍下世 从此别东林
虽过老人宅 不解老人心 何事残阳里 栽松欲待阴
孔融过五十 海内故人稀 相府恩犹在 知君未拂衣
送客攀花后 寻僧坐竹时 明朝莫回望 青草马行迟
旧友无由见 孤坟草欲长 月斜邻笛尽 车马出山阳
旅行虽别路 日暮各思归 欲下今朝泪 知君亦湿衣
风吹城上树 草没城边路 城里月明时 精灵自来去
白首独一身 青山为四邻 虽行故乡陌 不见故乡人
开帘见新月 便即下阶拜 细语人不闻 北风吹裙带
鸣筝金粟柱 素手玉房前 欲得周郎顾 时时误拂弦
文章似扬马 风骨又清羸 江汉君犹在 英灵信未衰
我与雷居士 平生事远公 无人知是旧 共到影堂中
主第辞高饮 石家赴宵会 金谷走车来 玉人骑马待
香炉最高顶 中有高人住 日暮下山来 月明上山去
迥临飞鸟上 高出世尘间 天势围平野 河流入断山
故交君独在 又欲与君离 我有新秋泪 非关宋玉悲
玉节随东阁 金闺别旧僚 若为花满寺 跃马上河桥
九江归路远 万里客舟还 若过巴江水 湘东满碧烟
倦客惊危路 伤禽绕树枝 非逢暴公子 不敢涕流离
别梦虽难觉 悲魂最易销 殷勤淮北岸 乡近去家遥
尘浥多人路 泥归足燕家 可怜缭乱点 湿尽满宫花
河畔多杨柳 追游尽狭斜 春风一回送 乱入莫愁家
席上沈香枕 楼中荡子妻 那堪一夜里 长湿两行啼
水阔尽南天 孤舟去渺然 惊秋路傍客 日暮数声蝉
西蜀三千里 巴南水一方 晓云天际断 夜月峡中长
花落千回舞 莺声百啭歌 还同异方乐 不奈客愁多
白浪暗江中 南泠路不通 高樯帆自满 出浦莫呼风
粉落空床弃 尘生故箧留 先来无一半 情断不胜愁
山水路悠悠 逢滩即殢留 西江风未便 何日到荆州
辇路江枫暗 宫庭野草春 伤心庾开府 老作北朝臣
幽径行迹稀 清阴苔色古 萧萧风欲来 乍似蓬山雨
岸芳春色晓 水影夕阳微 寂寂深烟里 渔舟夜不归
散下渚田中 隐见菰蒲里 哀鸣自相应 欲作凌风起
春园芳已遍 绿蔓杂红英 独有深山客 时来辨药名
苔色遍春石 桐阴入寒井 幽人独汲时 先乐残阳影
横遮野水石 前带荒村道 来往见愁人 清风柳阴好
今逢石上生 本自波中有 红艳秋风里 谁怜众芳后
杳杳疏钟发 因风清复引 中宵独听之 似与东林近
不随晴野尽 独向深松积 落照入寒光 偏能伴幽寂
全欺芳蕙晚 似妒寒梅疾 撩乱发青条 春风来几日
遗殿空长闭 乘鸾自不回 至今荒草上 寥落旧花开
今日山晴后 残蝉菊发时 登楼见秋色 何处最相思
蛩馀窗下月 草湿阶前露 晚景凄我衣 秋风入庭树
知有前期在 难分此夜中 无将故人酒 不及石尤风
忆昔秋风起 君曾叹逐臣 何言芳草日 自作九泉人
旧依支遁宿 曾与戴颙来 今日空林下 唯知见绿苔
水国春雷早 阗阗若众车 自怜迁逐者 犹滞蛰藏馀
伏馀西景移 风雨洒轻絺 燕拂青芜地 蝉鸣红叶枝
衰鬓千茎雪 他乡一树花 今朝与君醉 忘却在长沙
有月多同赏 无秋不共悲 如何与君别 又是菊黄时
晓发梳临水 寒塘坐见秋 乡心正无限 一雁度南楼
白雪高吟际 青霄远望中 谁言路遐旷 宫徵暗相通
山中砖塔闭 松下影堂新 恨不生前识 今朝礼画身
河亭收酒器 语尽各西东 回首不相见 行车秋雨中
子规啼不歇 到晓口应穿 况是不眠夜 声声在耳边
当初北涧别 直至此庭中 何意闻鞞耳 听君枝上风
水面细风生 菱歌慢慢声 客亭临小市 灯火夜妆明
水北金台路 年年行客稀 近闻天子使 多取雁门归
何罪过长沙 年年北望家 重封岭头信 一树海边花
芸香阁里人 采摘御园春 取此和仙药 犹治老病身
小松初数尺 未有直生枝 闲即傍边立 看多长却迟
夜久叶露滴 秋虫入户飞 卧多骨髓冷 起覆旧绵衣
映水色不别 向月光还度 倾在荷叶中 有时看是露
闲坐烧印香 满户松柏气 火尽转分明 青苔碑上字
向壁暖悠悠 罗帏寒寂寂 斜照碧山图 松间一片石
陈绿向参差 初红已重叠 中庭初扫地 绕树三两叶
雨中梨果病 每树无数个 小儿出入看 一半鸟啄破
晚艳出荒篱 冷香著秋水 忆向山中见 伴蛩石壁里
朝日满园霜 牛冲篱落坏 扫掠黄叶中 时时一窠薤
野桂香满溪 石莎寒覆水 爱此南涧头 终日湲潺里
粉翅嫩如水 绕砌乍依风 日高出露解 飞入菊花中
啾啾雀满树 霭霭东坡雨 田家夜无食 水中摘禾黍
寥落古行宫 宫花寂寞红 白头宫女在 闲坐说玄宗
眼暗没功夫 慵来剪刻粗 自看花样古 称得少年无
去年今日栽 临去见花开 好住守空院 夜间人不来
桥上车马发 桥南烟树开 青山斜不断 迢递故乡来
净扫黄金阶 飞霜皎如雪 下帘弹箜篌 不忍见秋月
从来上台榭 不敢倚阑干 零落知成血 高楼直下看
达晓寝衣冷 开帷霜露凝 风吹昨夜泪 一片枕前冰
何处哭故人 青门水如箭 当时水头别 从此不相见
车骑秦城远 囊装楚客贫 月明思远道 诗罢诉何人
晴日登临好 春风各望家 垂杨夹城路 客思逐杨花
玉英期共采 云岭独先过 应得灵芝也 诗情一倍多
枳实绕僧房 攀枝置药囊 洞庭山上橘 霜落也应黄
虚空无处所 仿佛似琉璃 诗境何人到 禅心又过诗
倾盖见芳姿 晴天琼树枝 连城犹隐石 唯有卞和知
万姓厌干戈 三边尚未和 将军夸宝剑 功在杀人多
江南季冬月 红蟹大如ē 湖水龙为镜 炉峰气作烟
露滴梧叶鸣 秋风桂花发 中有学仙侣 吹箫弄山月
久作烟霞侣 暂将簪组亲 还同褚伯玉 入馆忝州人
离樽闻夜笛 寥亮入寒城 月落车马散 凄恻主人情
江南孟夏天 慈竹笋如编 蜃气为楼阁 蛙声作管弦
江南仲秋天 □鼻大如船 雷是樟亭浪 苔为界石钱
江南仲春天 细雨色如烟 丝为武昌柳 布作石门泉
江南孟冬天 荻穗软如绵 绿绢芭蕉裂 黄金橘柚悬
江南孟春天 荇叶大如钱 白雪装梅树 青袍似葑田
江南孟秋天 稻花白如毡 素腕惭新藕 残妆妒晚莲
江南仲冬天 紫蔗节如鞭 海将盐作雪 出用火耕田
独坐贡闱里 愁多芳草生 仙翁昨日事 应见此时情
江南季夏天 身热汗如泉 蚊蚋成雷泽 袈裟作水田
江南仲夏天 时雨下如川 卢橘垂金弹 甘蕉吐白莲
江南季秋天 栗熟大如拳 枫叶红霞举 苍芦白浪川
我有心中事 不与韦三说 秋夜洛阳城 明月照张八
四海兵初偃 平津阁正开 谁知大炉下 还有不然灰
暂入新丰市 犹闻旧酒香 抱琴沽一醉 尽日卧垂杨
暂入新丰市 犹闻旧酒香 抱琴沽一醉 尽日卧垂杨
含风摇砚水 带雨拂墙衣 乍似秋江上 渔家半掩扉
孤高齐帝石 萧洒晋亭峰 境旷穷山外 城标涨海头
日昃不复午 落花难归树 人生能几何 莫厌相逢遇
良人久不至 惟恨锦屏孤 憔悴衣宽日 空房问女巫
恨唱歌声咽 愁翻舞袖迟 西陵日欲暮 是妾断肠时
别离非一处 此处最伤情 白发将春草 相随日日生
岁月人间促 烟霞此地多 殷勤竹林寺 能得几回过
松叶堪为酒 春来酿几多 不辞山路远 踏雪也相过
今朝杨子津 忽见五溪人 老病无馀事 丹砂乞五斤
寻源路已尽 笑入白云间 不解乘轺客 那知有此山
爱彼云外人 求取涧底泉 风吹芭蕉拆 鸟啄梧桐落
柳挂九衢丝 花飘万家雪 如何憔悴人 对此芳菲节
南征复北还 扰扰百年间 自笑红尘里 生涯不暂闲
纵横桃李枝 淡荡春风吹 美人歌白苎 万恨在蛾眉
夜久喧暂息 池台惟月明 无因驻清景 日出事还生
巧笑解迎人 晴雪香堪惜 随风蝶影翻 误点朝衣赤
年少轻行乐 东城南陌头 与君寂寞意 共作草堂游
朱门映绿杨 双阙抵通庄 玉珮声逾远 红尘犹自香
一杯宜病士 四体委胡床 暂得遗形处 陶然在醉乡
名教自可乐 搢绅贵行道 何必学狂歌 深山对丰草
言之或未行 前哲所不取 方寸虽浩然 因之三缄口
美禄与贤人 相逢自可亲 愿将花柳月 尽赏醉乡春
莫羡檐前柳 春风独早归 阳和次第发 桃李更芳菲
常日区中暇 时闻象外言 曹溪有宗旨 一为勘心源
马足早尘深 飘缨又满襟 吾师有甘露 为洗此时心
十年曾一别 征路此相逢 马首向何处 夕阳千万峰
清斋四体泰 白昼一室空 摧颓有古树 骚屑多悲风
璿枢无停运 四序相错行 寄言赫曦景 今日一阴生
空见水名敷 秦楼昔事无 临风驻征骑 聊复捋髭须
晓风摇五两 残月映石壁 稍稍曙光开 片帆在空碧
孤舟漾暧景 独鹤下秋空 安流日正昼 净绿天无风
古树夕阳尽 空江暮霭收 寂寞扣船坐 独生千里愁
猿声到枕上 愁梦纷难理 寂寞深夜寒 青霜落秋水
枯荄没古基 驳藓蔽丰碑 向晚微风起 如闻坐啸时
酒杯春醉好 飞雪晚庭闲 久忆同前赏 中林对远山
家寄江东远 身对江西春 空见相思树 不见相思人
重九共游娱 秋光景气殊 他日头似雪 还对插茱萸
常日每齐眉 今朝共解颐 遥知大官膳 应与众雏嬉
恩沾长寿酒 归遗同心人 满酌共君醉 一杯千万春
征途无旅馆 当昼喜逢君 羸病仍留客 朝朝扫白云
迟迟日气暖 漫漫雪天春 知君欲醉饮 思见此交亲
春梅杂落雪 发树几花开 真须尽兴饮 仁里愿同来
爱此丘中物 烟霜尽日看 无穷碧云意 更助绿窗寒
有意莲叶间 瞥然下高树 擘破得全鱼 一点翠光去
方寻莲境去 又值竹房空 几韵飘寒玉 馀清不在风
七国唯求客 千金遂筑台 若令逢圣代 憔悴郭生回
世上无穷事 生涯莫废诗 何曾好风月 不是忆君时
三刀梦益州 一箭取辽城 伊陟无闻祖 韦贤不到孙
海浪恬月徼 边尘静异山 从今万里外 不复锁萧关
戴胜飞晴野 凌澌下浊河 春风楼上望 谁见泪痕多
小苑莺歌歇 长门蝶舞多 眼看春又去 翠辇不经过
锦车天外去 毳幕雪中开 魏阙苍龙远 萧关赤雁哀
一览断金集 载悲埋玉人 牙弦千古绝 珠泪万行新
危事经非一 浮荣得是空 白头官舍里 今日又春风
门径俯清溪 茅檐古木齐 红尘飘不到 时有水禽啼
病来佳兴少 老去旧游稀 笑语纵横作 杯觞络绎飞
不归丹掖去 铜竹漫云云 惟喜因过我 须知未贺君
顷来多谑浪 此夕任喧纷 故态犹应在 行期未要闻
湖上新亭好 公来日出初 水文浮枕簟 瓦影荫龟鱼
汩汩几时休 从春复到秋 只言池未满 池满强交流
竹洞何年有 公初斫竹开 洞门无锁钥 俗客不曾来
南馆城阴阔 东湖水气多 直须台上看 始奈月明何
自有人知处 那无步往踪 莫教安四壁 面面看芙蓉
蔼蔼溪流慢 梢梢岸筱长 穿沙碧竿净 落水紫苞香
闻说游湖棹 寻常到此回 应留醒心处 准拟醉时来
蜂蝶去纷纷 香风隔岸闻 欲知花岛处 水上觅红云
柳树谁人种 行行夹岸高 莫将条系缆 著处有蝉号
新月迎宵挂 晴云到晚留 为遮西望眼 终是懒回头
无尘从不扫 有鸟莫令弹 若要添风月 应除数百竿
风雨秋池上 高荷盖水繁 未谙鸣摵摵 那似卷翻翻
罫布畦堪数 枝分水莫寻 鱼肥知已秀 鹤没觉初深
柳巷还飞絮 春馀几许时 吏人休报事 公作送春诗
源上花初发 公应日日来 丁宁红与紫 慎莫一时开
郡楼乘晓上 尽日不能回 晚色将秋至 长风送月来
非铸复非熔 泓澄忽此逢 鱼虾不用避 只是照蛟龙
朝游孤屿南 暮戏孤屿北 所以孤屿鸟 与公尽相识
非阁复非船 可居兼可过 君欲问方桥 方桥如此作
乍似上青冥 初疑蹑菡萏 自无飞仙骨 欲度何由敢
寒池月下明 新月池边曲 若不妒清妍 却成相映烛
唤起窗全曙 催归日未西 无心花里鸟 更与尽情啼
扰扰驰名者 谁能一日闲 我来无伴侣 把酒对南山
直把春偿酒 都将命乞花 只知闲信马 不觉误随车
一壶情所寄 四句意能多 秋到无诗酒 其如月色何
数日方离雪 今朝又出山 试凭高处望 隐约见潼关
知音者诚希 念子不能别 行行天未晓 携酒踏明月
风俗今和厚 君王在穆清 行看采华曲 尽是泰阶平
日日人空老 年年春更归 相欢在尊酒 不用惜花飞
负羽到边州 鸣笳度陇头 云黄知塞近 草白见边秋
鸡鸣天汉晓 莺语禁林春 谁入巫山梦 唯应洛水神
雪尽萱抽叶 风轻水变苔 玉关音信断 又见发庭梅
摇漾越江春 相将采白蘋 归时不觉夜 出浦月随人
朝为耕种人 暮作刀枪鬼 相看父子血 共染城濠水
十年劳远别 一笑喜相逢 又上青山去 青山千万重
村步如延寿 川原似福平 无人相共识 独自故乡情
论兵去商虐 讲德兴周道 屠沽未遇时 岂异兹川老
信书成自误 经事渐知非 今日临岐别 何年待汝归
好在湘江水 今朝又上来 不知从此去 更遣几年回
海鹤一为别 存亡三十秋 今来数行泪 独上驿南楼
幽径为谁开 美人城北来 王程倘馀暇 一上子陵台
荒山秋日午 独上意悠悠 如何望乡处 西北是融州
溪路千里曲 哀猿何处鸣 孤臣泪已尽 虚作断肠声
千山鸟飞绝 万径人踪灭 孤舟蓑笠翁 独钓寒江雪
问春从此去 几日到秦原 凭寄还乡梦 殷勤入故园
九扈鸣已晚 楚乡农事春 悠悠故池水 空待灌园人
风烟纪南城 尘土荆门路 天寒多猎骑 走上樊姬墓
常恨言语浅 不如人意深 今朝两相视 脉脉万重心
径尺千余朵 人间有此花 今朝见颜色 更不向诸家
晓连星影出 晚带日光悬 本因遗采掇 翻自保天年
文苑振金声 循良冠百城 不知今史氏 何处列君名
何处秋风至 萧萧送雁群 朝来入庭树 孤客最先闻
南山宿雨晴 春入凤凰城 处处闻弦管 无非送酒声
属车八十一 此地阻长风 千载威灵尽 赭山寒水中
露涤铅粉节 风摇青玉枝 依依似君子 无地不相宜
今日花前饮 甘心醉数杯 但愁花有语 不为老人开
万里长城坏 荒营野草秋 秣陵多士女 犹唱白符鸠
江海多豪气 朝廷有直声 何言马蹄下 一旦是佳城
昔别矜年少 今悲丧国华 远来同社燕 不见早梅花
京兆归何处 章台空暮尘 可怜鸾镜下 哭杀画眉人
高樯起行色 促柱动离声 欲问江深浅 应如远别情
尚有竹间路 永无綦下尘 一闻流水曲 重忆餐霞人
秋水清无力 寒山暮多思 官闲不计程 遍上南朝寺
世路山河险 君门烟雾深 年年上高处 未省不伤心
年方伯玉早 恨比四愁多 会待休车骑 相随出罻罗
九陌祥烟合 千春瑞月明 宫花将苑柳 先发凤凰城
玉帛殊方至 歌钟比屋闻 华夷今一贯 同贺圣朝君
袅袅城边柳 青青陌上桑 提笼忘采叶 昨夜梦渔阳
圣德超千古 皇威静四方 苍生今息战 无事觉时良
行到黄云陇 唯闻羌戍鼙 不如山下水 犹得任东西
紫禁香如雾 青天月似霜 云韶何处奏 只是在朝阳
仙娥今下嫁 骄子自同和 剑戟归田尽 牛羊绕塞多
石室寒飙骛 孙枝雅器裁 坐来山水操 弦断吊遗埃
芍药斩新栽 当庭数朵开 东风与拘束 留待细君来
劝僧一杯酒 共看青青山 酣然万象灭 不动心印闲
燕相谋在兹 积金黄巍巍 上者欲何颜 使我千载悲
去年无花看 今年未看花 更闻飘落尽 走马向谁家
掩抑中天意 凄怆触笼音 惊晓一闻处 伤春千里心
新浴振轻衣 满堂寒月色 主人有美酒 况是曾相识
三五穷荒月 还应照北堂 回身向暗卧 不忍见圆光
马嘶白日暮 剑鸣秋气来 我心浩无际 河上空徘徊
愁云重拂地 飞雪乱遥程 莫虑前山暗 归人正眼明
天子收郡印 京兆责狱囚 狂兄与狂弟 不解对花愁
朱邑何为者 桐乡有古祠 我心常所慕 二郡老人知
泪墨洒为书 将寄万里亲 书去魂亦去 兀然空一身
试妾与君泪 两处滴池水 看取芙蓉花 今年为谁死
妾恨比斑竹 下盘烦冤根 有笋未出土 中已含泪痕
河边织女星 河畔牵牛郎 未得渡清浅 相对遥相望
欲别牵郎衣 郎今到何处 不恨归来迟 莫向临邛去
楚血未干衣 荆虹尚埋辉 痛玉不痛身 抱璞求所归
萱草生堂阶 游子行天涯 慈亲倚堂门 不见萱草花
一夕九起嗟 梦短不到家 两度长安陌 空将泪见花
独访千里信 回临千里河 家在吴楚乡 泪寄东南波
边地春不足 十里见一花 及时须遨游 日暮饶风沙
扬帆过彭泽 舟人讶叹息 不见种柳人 霜风空寂历
楚水结冰薄 楚云为雨微 野梅参差发 旅榜逍遥归
师住青山寺 清华常绕身 虽然到城郭 衣上不栖尘
青山临黄河 下有长安道 世上名利人 相逢不知老
刚有下水船 白日留不得 老人独自归 苦泪满眼黑
朝见一片云 暮成千里雨 凄清湿高枝 散漫沾荒土
昨夜一霎雨 天意苏群物 何物最先知 虚庭草争出
清净当深处 虚明向远开 卷帘无俗客 应只见云来
自爱新梅好 行寻一径斜 不教人扫石 恐损落来花
紫芽连白蕊 初向岭头生 自看家人摘 寻常触露行
渌酒白螺杯 随流去复回 似知人把处 各向面前来
垒石盘空远 层层势不危 不知行几匝 得到上头时
春坞桃花发 多将野客游 日西殊未散 看望酒缸头
独入千竿里 缘岩踏石层 笋头齐欲出 更不许人登
台上绿萝春 闲登不待人 每当休暇日 著履戴纱巾
曲沼春流满 新蒲映野鹅 闲斋朝饭后 拄杖绕行多
月出深峰里 清凉夜亦寒 每嫌西落疾 不得到明看
山城无别味 药草兼鱼果 时到绣衣人 同来石上坐
阶上一眼泉 四边青石甃 唯有护净僧 添瓶将盥漱
憔悴远归客 殷勤欲别杯 九星坛下路 几日见重来
松暗水涓涓 夜凉人未眠 西峰月犹在 遥忆草堂前
独在西峰顶 年年闭石房 定中无弟子 人到为焚香
山中春已晚 处处见花稀 明日来应尽 林间宿不归
日早欲参禅 竟无相识缘 道场今独到 惆怅影堂前
行到泾州塞 唯闻羌戍鼙 道边古双堠 犹记向安西
漠漠野田草 草中牛羊道 古墓无子孙 白杨不得老
可怜岸边树 红蕊发青条 东风吹渡水 冲着木兰桡
离灯及晨辉 行人起复思 出门两相顾 青山路逶迤
何处堪惆怅 情亲不得亲 兴宁楼上月 辜负酒家春
仙宫云箔卷 露出玉帘钩 清光无所赠 相忆凤凰楼
人生都几日 一半是离忧 但有尊中物 从他万事休
爱酒如偷蜜 憎醒似见刀 君为麹糵主 酒醴莫辞劳
泉溜潜幽咽 琴鸣乍往还 长风翦不断 还在树枝间
昨夜村饮归 健倒三四五 摩挲青莓苔 莫嗔惊著汝
竹下青莎中 细长三四片 主人虽不归 长见主人面
自顾拨不转 何敢当主人 竹弟有清风 可以娱嘉宾
竹弟谢石兄 清风非所任 随分有萧瑟 实无坚重心
竹弟虽让客 不敢当客恩 自惭埋没久 满面苍苔痕
遍索天地间 彼此最痴癖 主人幸未来 与君为莫逆
兰兰是小草 不怕郎君骂 愿得随君行 暂到嵩山下
粉末为四体 春风为生涯 愿得纷飞去 与君为眼花
君是轻薄子 莫窥君子肠 且须看雀儿 雀儿衔尔将
昨夜霜月明 果有清音生 便欲走相和 愁闻寒玉声
袅袅沉水烟 乌啼夜阑景 曲沼芙蓉波 腰围白玉冷
虫响灯光薄 宵寒药气浓 君怜垂翅客 辛苦尚相从
巨鼻宜山褐 庞眉入苦吟 非君唱乐府 谁识怨秋深
行尽柳烟下 马蹄白翩翩 恐随行处尽 何忍重扬鞭
园中莫种树 种树四时愁 独睡南床月 今秋似去秋
东床卷席罢 濩落将行去 秋白遥遥空 日满门前路
藕花凉露湿 花缺藕根涩 飞下雌鸳鸯 塘水声溘溘
驱马出门意 牢落长安心 两事谁向道 自作秋风吟
尽欲调太羹 自古无好手 所以山中人 兀兀但饮酒
白虹千里气 血颈一剑义 报恩不到头 徒作轻生士
渴饮颍水流 饿喘吴门月 黄金如可种 我力终不竭
文王久不出 贤士如土贱 妻孥从饿死 敢爱黄金篆
碣石何青青 挽我双眼睛 爱尔多古峭 不到人间行
寒衣草木皮 饥饭葵藿根 不为孟夫子 岂识市井门
一条古时水 向我手心流 临行泻赠君 勿薄细碎仇
雪打杉松残 补书书不完 懒学渭上翁 辛苦把钓竿
檐碍修鳞亚 霜侵簇翠黄 唯余入琴韵 终待舜弦张
悠悠洛阳梦 郁郁灞陵树 落日正西归 逢君又东去
元伯来相葬 山涛誓抚孤 不知他日事 兼得似君无
内外都无隔 帷屏不复张 夜眠兼客坐 同在火炉床
良夕背灯坐 方成合衣寝 酒醉夜未阑 几回颠倒枕
竹簟衬重茵 未忍都令卷 忆昨初来日 看君自施展
被色空成象 观空色异真 自悲人是假 那复假为人
一日今年始 一年前事空 凄凉百年事 应与一年同
平生本多思 况复老逢春 今日梅花下 他乡值故人
望远音书绝 临川意绪长 殷勤眼前水 千里到河阳
隔是身如梦 频来不为名 怜君近南住 时得到山行
世累为身累 闲忙不自由 殷勤辋川水 何事出山流
为结区中累 因辞洞里花 还来旧城郭 烟火万人家
倦寝数残更 孤灯暗又明 竹梢馀雨重 时复拂帘惊
多病苦虚羸 晴明强展眉 读书心绪少 闲卧日长时
麋入神羊队 鸟惊海鹭眠 仍教百馀日 迎送直厅前
寥落古行宫 宫花寂寞红 白头宫女在 闲坐说玄宗
秋风方索漠 霜貌足暌携 今日骑骢马 街中醉蹋泥
遣闷多凭酒 公心只仰胡 挺身唯直指 无意独欺愚
闻君新酒熟 况值菊花秋 莫怪平生志 图销尽日愁
顺俗唯团转 居中莫动摇 爱君心不恻 犹讶火长烧
尔是无心水 东流有恨无 我心无说处 也共尔何殊
五上两漫天 因师忏业缘 漫天无尽日 浮世有穷年
天上无穷路 生期七十间 那堪九年内 五度百牢关
君念世上川 嗟予老瘴天 那堪十日内 又长白头年
重叠鱼中素 幽缄手自开 斜红馀泪迹 知著脸边来
桃花浅深处 似匀深浅妆 春风助肠断 吹落白衣裳
远路事无限 相逢唯一言 月色照荣辱 长安千万门
露簟色似玉 风幌影如波 坐愁树叶落 中庭明月多
井梧凉叶动 邻杵秋声发 独向檐下眠 觉来半床月
门严九重静 窗幽一室闲 好是修心处 何必在深山
南窗背灯坐 风霰暗纷纷 寂寞深村夜 残雁雪中闻
檐间清风簟 松下明月杯 幽意正如此 况乃故人来
悄悄壁下床 纱笼耿残烛 夜半独眠觉 疑在僧房宿
江城寒角动 沙洲夕鸟还 独在高亭上 西南望远山
小榼二升酒 新簟六尺床 能来夜话否 池畔欲秋凉
独到山下宿 静向月中行 何处水边碓 夜舂云母声
置琴曲几上 慵坐但含情 何烦故挥弄 风弦自有声
人各有所好 物固无常宜 谁谓尔能舞 不如闲立时
风翻朱里幕 雨冷通中枕 耿耿背斜灯 秋床一人寝
山川函谷路 尘土游子颜 萧条去国意 秋风生故关
皎皎青铜镜 斑斑白丝鬓 岂复更藏年 实年君不信
早蛩啼复歇 残灯灭又明 隔窗知夜雨 芭蕉先有声
叶声落如雨 月色白似霜 夜深方独卧 谁为拂尘床
漠漠秋云起 稍稍夜寒生 但觉衣裳湿 无点亦无声
江人授衣晚 十月始闻砧 一夕高楼月 万里故园心
经窗灯焰短 僧炉火气深 索落庐山夜 风雪宿东林
已讶衾枕冷 复见窗户明 夜深知雪重 时闻折竹声
乡路音信断 山城日月迟 欲知州近远 阶前摘荔枝
一为趋走吏 尘土不开颜 孤负平生眼 今朝始见山
百年愁里过 万感醉中来 惆怅城西别 愁眉两不开
白社羁游伴 青门远别离 浮名相引住 归路不同归
家寄关西住 身为河北游 萧条岁除夜 旅泊在洺州
艳质无由见 寒衾不可亲 何堪最长夜 俱作独眠人
清风吹枕席 白露湿衣裳 好是相亲夜 漏迟天气凉
久为劳生事 不学摄生道 年少已多病 此身岂堪老
自嗟名利客 扰扰在人间 何事长淮水 东流亦不闲
夜半樟亭驿 愁人起望乡 月明何所见 潮水白茫茫
碧落留云住 青冥放鹤还 银台向南路 从此到人间
昔日愁头白 谁知未白衰 眼看应落尽 无可变成丝
悄悄禁门闭 夜深无月明 西窗独暗坐 满耳新蛩声
切切暗窗下 喓喓深草里 秋天思妇心 雨夜愁人耳
渺渺江陵道 相思远不知 近来文卷里 半是忆君诗
抱枕无言语 空房独悄然 谁知尽日卧 非病亦非眠
绝弦与断丝 犹有却续时 唯有衷肠断 应无续得期
似玉童颜尽 如霜病鬓新 莫惊身顿老 心更老于身
雪散因和气 冰开得暖光 春销不得处 唯有鬓边霜
萧散弓惊雁 分飞剑化龙 悠悠天地内 不死会相逢
交亲过浐别 车马到江回 唯有红藤杖 相随万里来
湿屈青条折 寒飘黄叶多 不知秋雨意 更遣欲如何
岁时销旅貌 风景触乡愁 牢落江湖意 新年上庾楼
弄日临溪坐 寻花绕寺行 时时闻鸟语 处处是泉声
火宅煎熬地 霜松摧折身 因知群动内 易死不过人
绿蚁新醅酒 红泥小火垆 晚来天欲雪 能饮一杯无
临风杪秋树 对酒长年人 醉貌如霜叶 虽红不是春
我抱栖云志 君怀济世才 常吟反招隐 那得入山来
冷碧新秋水 残红半破莲 从来寥落意 不似此池边
万里路长在 六年身始归 所经多旧馆 大半主人非
南浦凄凄别 西风袅袅秋 一看肠一断 好去莫回头
吟咏霜毛句 闲尝雪水茶 城中展眉处 只是有元家
霜菊花萎日 风梧叶碎时 怪来秋思苦 缘咏秘书诗
半朽临风树 多情立马人 开元一株柳 长庆二年春
南陌伤心别 东风满把春 莫欺杨柳弱 劝酒胜于人
夺宠心那惯 寻思倚殿门 不知移旧爱 何处作新恩
焰短寒缸尽 声长晓漏迟 年衰自无睡 不是守三尸
亲故寻回驾 妻孥未出关 凤凰池上月 送我过商山
坐酌泠泠水 看煎瑟瑟尘 无由持一碗 寄与爱茶人
云雨三年别 风波万里行 愁来正萧索 况见古人名
城上冬冬鼓 朝衙复晚衙 为君慵不出 落尽绕城花
郭外迎人月 湖边醒酒风 谁留使君饮 红烛在舟中
遥羡青云里 祥鸾正引雏 自怜沧海伴 老蚌不生珠
罗敷敛双袂 樊姬献一杯 不见舒员外 秋菊为谁开
东宫白庶子 南寺远禅师 何处遥相见 心无一事时
荤膻停夜食 吟咏散秋怀 笑问东林老 诗应不破斋
朱栏映晚树 金魄落秋池 还似钱唐夜 西楼月出时
上马行数里 逢花倾一杯 更无停泊处 还是觅君来
野径行无伴 僧房宿有期 涂山来去熟 唯是马蹄知
久别偶相逢 俱疑是梦中 即今欢乐事 放醆又成空
翠黛眉低敛 红珠泪暗销 从来恨人意 不省似今朝
池晚莲芳谢 窗秋竹意深 更无人作伴 唯对一张琴
欢爱今何在 悲啼亦是空 同为一夜梦 共过十年中
清紧如敲玉 深圆似转簧 一声肠一断 能有几多肠
半日停车马 何人在白家 殷勤萧庶子 爱酒不嫌茶
老去唯耽酒 春来不著家 去年来校晚 不见洛阳花
朝荣殊可惜 暮落实堪嗟 若向花中比 犹应胜眼花
渐老只谋欢 虽贫不要官 唯求造化力 试为驻春看
郡守轻诗客 乡人薄钓翁 解怜徐处士 唯有李郎中
肩舁仍挈榼 莫怪就君来 秋雨经三宿 无人劝一杯
朝梳一把白 夜泪千滴雨 可耻垂拱时 老作在家女
都无看花意 偶到树边来 可怜枝上色 一一为愁开
风鸣云外钟 鹤宿千年松 相思杳不见 月出山重重
苏武节旄尽 李陵音信稀 梅当陇上发 人向陇头归
茫茫死复生 惟有古时城 夜半无鸟雀 花枝当月明
