皎,千岩,趣,况
人,水头,风月夜,楼替
年,今日,焚烧,灰
客,招,风月,共
影,天,愁,船
事,若何,仙,未
余,旧,船,杨
时光,岁,忽忆,今朝
院里,最,莫,白
银章,客来,衣,竹
云,歌钟,王阁,送
曹,少,男儿,看
花,眉,少,争
老,乞寒衣,汝,稀
巫,懊恼,君,教
麻饼,香,大使,无
红莲,牡丹,爱,写
岸,送,守,更一来
渡,不,悴,几多
泽畔,天门,漠,中
万州,君手,欲尝,渠
云,华清,巴猿,山
红,太守,十,中种
深峡,欲夜天,楼时,年
辞数,愁,下,忠州
清,人呼,罗,冰
新,茫茫,君,乡
中南北,云,两州,禽作
日,春,前,后人
峡,岸上,莫,教
幢,共,莫怪,最
忘机,衲头,守,不营
深,思远,遥,金刚
日,流,欲作,却
老,明天,抱,秋千
开,种,家乡,君心
去,销,唯拟,渠
鸡冠,开,欲摘,共
香球,次,春来,先归
竹,损伤,爱少,教
兄弟,华,名作,属
迁,五度,中庭,无
禁苑,风慢,无,自行
无力,东风,易,销
南北,东西,离别,谩
樽久,入门,落竟,胧
草,人行,宫,夜夜
江南,两度,岸上,不知
三,天,明月,三十六
花,窗外,坐,春春
梦,前,老,坐
只日,汉庭,华表,辽东
何日,秦人,风月夜,上
回望,佩,为伴,青袍
尹,俱,无,散
酒后,思量,小户,乡
静,漏长,黄昏,紫微郎
恩,争,女,春来
乍来,山,游,人间
江头,迟迟,衰,教计
明月,低容,停处,重
虫,影月,旌,欲夜
事,入,家,红时
花,愁,宦,何日
春,炙,冷暖,冰
送,厅,莫恋,花
红,游,何必,雨
晓,但见,前日,合得
共,两度,江行,愁
色,恨,送别,条折
白头,恩,今日,锁
残阳,瑟瑟,可怜,珠月
东来,尽梅,妇,吹
静,影,下手,剪刀
月,中庭,卧,挑
波,荷花,笑,落水
天仙,地莲,教,下绣
愁,绡,无,日
牡丹,丛别,堪惜,开
江州,白发,成雪,弹
语,就月,无,争
草裙,风调,君,心
瑟瑟,湘,愁云,萧萧
应,梁下,犹,睡
劫,破船,无,清凉山
下,马,秋物,梨
后,无,移床,诗侧
紫,红,情乡,山
谢安山下空,柳,争,花
客,君,何作,船
口,携,为伴,人
日照,粉,态,木兰
影,朱,觅,欲何
樱,条,朱,情
两,客来,物,木莲
冷吟,仙,早,三十
鬓布,山,钱,红
云,君身,暂来,作俗
宿寺,半夜,瑟瑟,无
竹,深,此处,道士
懦,欺,醉,下
向仙,早晚,人间,花
唱,声,君,此语
花,开,曲,相
下,两回头,白堂,先
尽处,古驿台,不见,船
游,身,欢,始
白日,依依,杨花道,春风
争,唱舍人,休,逐
落,一月,朝复,老
留,又付,爱,恩
碧线,翠,春怅,意时
寄一辞,报,岁峡,招手
仍,去,相去,相见
柘枝,从尘,料,故时
正泊,楼,此夜,西头
钱塘,饮酒,棹,风月
辞章,归依,坐,僧
官,居处,北水,少
静,称闲,高,云心
水色,小桥,无,春
亦,未成,恨,消
游,风光,歌舞,白头人
来篮,家门,主人,谈笑
上少,城边,元,门
不清,句雄,还,亦
株梅,花,妒,开
月,砌,回廊,暗看花
春,醉,絮送,今日
裁,咏灯,巧妇,教
满,银钩,去,传
缨,重,全,步行
广陵,何楼,犹,层
扬州,水阁,不知,共
君,新,不,爱
山阳,静,根,吠
花雨,桐,尽日,监
似,种菜,入,宿五门
见人寰,空,去,一稊
兀,树,马蹄,杨家
满,驱,舁,向东
白,江南,携归,朱
君,花,归处,鹦鹉
梁,玉尘,相如,不知
江东,黄,宿,不知
龙,此生,筋力,登山
起春,偶,御,裘
雅韵,白云,曾为,苏州
剑,拥,交代,甘棠
松筠,开,敢,未
英,花,恁,菁花
频,花香,江南,白亭
春风,花,醉,何穷
酒,花,花,东风
老愁,唱,年,已
女,中,啼鸟,得知
秦山,春,两京路,人
静,困,未能,水店
落,我弹,老,看
花,点愁,背,回头
醅,薄,为报,送
开,满,思处,终须
南海,心,玉,乡
居,名,商乐,月
冬,亦愁,老翁,莫
冰声,入,满衫,年
拨,两玲珑,曹,衣袖
空,树,偈,花
覆,上,好,傍
醉,非月,老病,春来
畅,忘,启期,三
古曲,看,俱静,人弹
送,悠,吹,行人
君须,君,莫,分
毡,棹,风月,万
满,三,今且,不病
笙,阑,遣,白头人
频,玉,闲,许去
明月,霓裳,邀,堪
白藕,信,江南,逐
公,事,见,清泉
去,不知,计,杯
伊,清景,诗句,洛阳
右,可怜,知,高
帘,深,冷落,张琴
竹,排行,少,少校
郁金,丛色,还,翁
涓涓,桥头,衰,霜风
先,云,酒,头
愁,庭,黑,增加
勿,悔,花,来不得
晚,尹,马上,紫蕉
是伴,随杯,守,歌舞
口,河阳,不知,犹
心,悬,先,日
来长,一绳床,即心,相逢
恩,香,今,转
年,长寿,蜀,中
弹,调,无,自知
中梅,次,深,亦道
洛阳,年,心不得,依然
出,是看花,坐,东京
花,信,春,条
美何,不再,愁,莫
岂,居,近来,嵇康
今夜,崔卿,中徽,声
山月,吹笙,凤,霓裳
舆不,寻不遇,马,坊
霁,凉,秋,月
见,无身,主,五度
池,儿童,各异,尔垂钩
船,半,江南,芙蓉
池,花,新,谩
早,发,人间,老
清风,一绳床,见,道场
三乡,馀,催身,校书郎
今头,君心,老休,后身
守岁,老心,火,便是
无,冰,谁计,春水
周岁,威棱,官酒,醐
暮,残,帐,试
甘露,馨,物何人,刑
应,典酒,十千一,钱
粘桃,裙,欢宴,后
冬熟,开,多逸,书唤
扉,泉,更怜,醐
罢,睡觉,无,身心
罢,前,诗,人酬
凉,坠,莫叹,潘
称,好朝天,无,驱
笔,深,句,伤心
凋,凉,解,衰
征,散时,天,白家
风,信池,老身,洛阳
风声,中银,柱,寥
教,僧,柳曲,断酒
爱,指,色,君
朱粉,金,春梦,花
知者,老君,知者,文
物,我道,遥,校
雀,池,尽日,动
鸡,雁,立,云松
为贤,诗人,鲁,年年
怪,复,乐天,时少
堆,金,问,无
游,频,亭,如作
频,游人,衡门,终
池,勿,窄小,主
可亲,关身,裴家,故怜
阁,巡,凉,今朝
尊前,看,最闲,平泉
主人,问,幸闲,今宵
事,江南,问法,船师
使,馀,输,十
易,树,应,三
斑斑,利仁,蹰,吹声
洛阳,暮春,逢,闲人
繁,开,卢明,引
草,上,死七年,无
东头,条,魂,茫茫
何日,春,云,游人
西户,慵来,鲙,张翰
裘暖,阁,稳心,无
官,转难,销酒,邹
老,春,花,亲
新雨,甲,春,十字津
开,公家,桃李满天下,花
一何,阴雨夜,教迁,君
亹亹,寥寥,君休,清琴
香山,秋逢,山月,知不知
牙,看,今朝,有酒
绵,凉,觉,早
散乱,人披,无,梁
梁,新莲,条,引入
陶庐,攀,三十六,作家
暮雨,凉,荀,草
忘,些,聊,舆争
锦绣,俱,次,客星
十三弦,天,金,中
安,欲,送,人
新,有醉,花笑,三十
丁宁,唱,人间,教
年年,稀,巢,寄
条,控,东城,白蕉
来久,池,似雪,死
爱,不,白,君输
云,醉,诚知不及,犹觉
身,醉,相怪,翁
门,迎春,游人,老
茂苑,阳,老,后辈
方,疾来,凡,天
无期,泉,阳,教
佛,岂,我笑,艾灸
年,头嘶,犹,岂
杨,醉,后,春风
皤然,流,莫,无身
折,尽日,苏州,争
拨,情,三,陈
香火,白头,何年,醉
扶,强,纵行,平原
老,别人,更学,春风
清庭,衣裳,歌袖,张
满,香,寻,藏经
沈,深,宫,贵
送,此情,师,会
散,麦旱,成,逐
斑斑,静,遭遇,辗来
香檀,生理,老,尽天
桑田,沸天,蛟斗,乐不知
化,深,计,幽暗
泰然,严冬,君快,朝来
王身,今居,爱,恩
早,岁,人,奈
初病,衔杯,今春,饮酒
屡,讴吟,三,不
守,尚,任意,老人
无,残,君,舁
阁,魑,荣,场
开,上,山,移泉
俱,中何,应悟,荣
霏霏,首相,四,人间
为怜,回到,滩,三
新,堪,娥字,旧
繁,转,乐,愁
最,调少,翻曲,肠
玉,送,爱夫,开
满子,就刑,四调,肠声
杨,望尘,不觉,无泪
泉,眠,青苔,万金
坐,尊,留,翁
石,渔竿,乡,严陵
床头,裘,觉,不
意何,向庭,玉山,对醉
玉,响,滩,玉
泉,情,恐,石
满,开,之携,别人
中,后,就醉,残
能入,污,住处,竹泉
君,晨,悠悠,君轻
泥中,仪松,他天,鸡
君,相亲,君怨,忝
云,下,羽,曲
夸,天,君,饥来
相,有归,彩云里,见
君,驱,掌,君
殁,合,吾辈,大都
近,见楼台,仙龛,乐天
学仙,说是,是吾归,天
开,年,七十三,花
缨,司徒,悬车,狂
扣,停杯,癖,君别
池,睡觉,尹,年
日,销,尽日,无
枝,软于,荒园,尽日
衰,天,后,两星
看,乐,与心力,年
安稳,帐未,还,暂
叶濡,云,满,暑
西北,飘,万物,丰
春日,城门,市,草
接,刘郎,剡,犹
凉,霓裳,集仙,笙
欲话,口,相逢,笑
爱,尘,玉泉潭,无
表,中桥,无数,犹
东北,思醉,主人空,管弦来
潘驿桥,北醒,怪,飞
上,逐,两,风吹
余,白亭,相逢,送
马且,绝,过桑间,妨
逐身,老,点,犹
毛,还,鹤翎,山
千,稀,春来,百花
泉,无心,山,人间
正当,吹,流,空枝
霄微,汉秋,与离,年年
未,重,开,点头
住南州,丘,寺,游
雪作,华表,犹希,威
看,书,为报,胜
今,巫山,为报,清词
几回,上,下,王权
依依,无,采,入
君,匡庐,今日,移
生芽,蒙山,杨,公
月,越,龙,应
花,红妆,不知,见
步入,留,久,竹
金钱,花,见,早
紫菊,摘菊,乡,茱萸
紫,满,仙,结芳
晓望,月,未能,为邦
暂,即色,今,我家
阴,铁衣,单于,仔细
临江,锦绣,天,山
柳,扑,令节,春寒
帆影,钱塘,积雪,御
相,发,风吹,下时
苍苍,自胜,树,人
愁,亦,持,拨
空,甘露,寂终,非想天
白头,贾,寒宵,觉
绕,情,静,雨声
蜀,岁,断,花
明明,孤舟,出远,寒
丛台,蓬,啼断,树
远客,骨,空,纸
极,条,扰,到鸊
漫漫,抛郊,毛衣,愁
广州,羁,早潮落,沙
稀,试病,欲,人
玉,灰,极,云雨
大底,筑,想,秋山
尽归,居,余,共
花自,知情,寒山寺,金
千万,相,不,一月
腊,桃,不语,发
游,流,岂,外愁
上绀宫,红,月,焰
嫩,翠,稽亭,永
沉沉,恣,留,羡山
华发,乡愁,空庭,见
繁弦,柳,隐,书
游,寻,流,花
玉,深,恨,外边
入巷,居,见天,声
冶娘,彩,水远,光
无,孤坟,哀,下泪
荧,还,古城,汗如水
香,名,老,字
乱石,不,著来,粉
私,北风,岸,浪声
青藜,解,还,山
消,邛知,余肉,陈
发,坐,不曾,世人
两,滋,无,生苦
含露,尘,事,风
通,老,天,死
旐,哭渐,垄,水松
寥寥,人间,樵,棋
根,心,雨露,寄
愁,还,谁遣,行路
无,不容身,笑,几多
歇,隔松,主人,黄
运,亩,属,不知
舆,三十六,扇,吹
扑黍油,树连,冯翊,相
佩佩,游,力,试
天远,白露,犹有,团
高,昔围,人头,带声
满,天,人此,市年
西湖,匠,见,名何
还,满院,树,犹自
眉,影,膊,落落
初剿,鱼,残,天
利,扰,往复,相
吊屈,写,湘曲,年
赐,棱,扇,不
宿棣,声,影,不知
西风雨,问,白发,云
黄泥,似,化,未央
曲江头,游,三山,年年
满,太守,中,情思
吹,月闲,梅花,满
阴,深,珠帘,心
坼,仙,飞升,紫阳
娥,只,不知,犹
倚,迹,龙骨,犹
御,游,物,流
迟迟,孙,向穹,霍
客舍,咸阳,渡桑,故乡
门,还流,蛾眉明,愁
去,丹炉,何日,扫
今宵,桥,秋月,条
贾,逝川,帐,月
冢,薄,亲策,胡
鹦鹉,人语,君,愁
玉,芙蓉,流,笙
思逐鹿,四皓,鬓发,深山
却长,持,如镜,渔人
征,皆愁,分,我方
容,行列,山,庙
得声,传,三百,教
丈,欲,烟霞,重
流,侍,绝,三十六
嵩,三十六,嵩,眠
十五夜,萧萧,在何,云
西,日夜,钱塘,白头
千,暂息,今古长,破
逢,落日,唯有,送
脸,愁,三,扬州
净色,似霜,见,珠
圆,桂,似,峰
云,千秋,浙,奠
无,海烟,唐,五色
床头,窗外,辽西,丁
条,千,江州,风景
游客,树,树,愁
沧海,谁测,云边,秦
知名,骨节,方,事
横,玉佩过,别离,鼓星
繁,漫漫,秋,正面
爱,见,杨花道,杨花似雪
乌家,休,春,遣
长短,中,明月,睡
三,见,教,梳
树,草,树,见
丘,数,山林,唯照
驱驰,株松,道,画
合,白云,啼猿,三
风袅袅,萧萧,相,巴字
东城,思,不似,汉
上国,翠,树,插九枝花
明月,人情自,山,扇样
溪水,众山摇,静,吠
薄笼,新愁,仍病,花眠
南越岭,守,怨,犹
翠,丈人,跪拜,条
绵雨,云入,源,锦枉
枝枝,光,征,边花
万七千,城圈,俱,白头
声,早,羡,窗眠
牡丹,中好,疑,态
苍苍,客,云,衣裳
数尺,珠台,珠,石家生
红叶,愁,御,流
发,凤,砧明,人
殿明,吹笙,人间,寥天
云山,洛阳,冷水边,官
自古,爱,诗句,洛阳
发,吹,可怜,懊恼
花边,荡兰,朱门,江南
有色门,深,料,一弹
元白,无,先,白头
一夫,堪,纷纷,驱
紫溪,千岩,岩,花
促,可怜,无,夜
浮生不定,见,觉,寒
此行,女,唱,杨家怨
丈人,锄,松树,斩
寒,明,发,两茎
漠,梳,璁,教
船,辅九,羡,花
翦处,暄,阖,雨
越水,苍苍,马蹄,未曾
看,校,刀,开
适,三十六,忘,生
天边,草,宿,愁蛾
沈,郢,唱,今日
争,休,山公,醉
说易,树,导师,知前
多闻,出,应殊,入
洒,薰,南北,柔致
戎,金,寂,点
东风,腊前,禁苑,宫
上,犹,欲,郡
初,落日,汉,甪
郡,无,水色,吴州
下马,石,发,掩
心,山,南,更上层楼
岁,岁,毛添,逐
东风,舁,走马犊车,鸡
山山,山,古寺,满
草,花,陈,雪中
利,城池,雕龙,碑
红尘,分,花笑,年年
人,三,不知,白头
月,上,竹,影
见,张,行歌声,苍苍
山,开,罚,花流
淫祠,株,乌惯,蠡
见,紫阳,玉,山
故人,云,今日,都护
犹少,未曾,翻译,雁
无,辰,花树,下人
帆,见,乱笑,天地
弓,三,向蜀,一声声
日夜,蕃心,愁,声
分,压,海路,将军
早,花落,声,词
鞍,春生,别离,声声
竹,暂,欲,过湖
相见,翻觉,留师,坐
碑,台,逝,流
春,僧家,况,几身
三月,回添,君,醉
唱,向此,问,流
树立,道,分散,江吹
十,始,今日,刹那身
眉,谈论,佛,宰相
龙,意万,正,云峰
愁,山,见,渡江难
醉,登山,逢,半日
北燕,三,无限,话
祖师,前碑,寻阳,惠持
紫衣,相,看,深村
持,早春,休,便
新,泉,教,云壑
寻花,两三,犹,吹
草木,下堂,无,尽日
汉,扬州,上,堪愁
山,苑,三,笑
余,地仙,秋光,书
万,计,皆缘,舜葬
使时,开元,许,山
竹十,对岸,鞍马,文书
深,沉沉,爱物,移家
戈,日,花,数来
赐,秋风,翻,杨
过五十,问师,休,最
邻居,岁,风流,歌舞
树,数,欲问,秋色
山,关,相,不闲
城池,移,故事,山碑
大堤,四十,不料,洞庭湖
见,馀,犹,今日
开释,休,人间,沧江
山,流水,龙,茅庵
松门,处,舁,一阵风
波澜,一弹,再,还
茫茫,怨,沙,去
新笋,重来,满,作
河平,处处,走羸,原州
关扃,山,事,满
万,山,溪水,送
坐,信,满纸,推
去,云入虎溪,陈,字
知名,分付,山,休
秋,落,浦,沉沉
龙,竹,相见,花
引,天,曲,君别
成,重来,玄度,再
苍翠,枯类,树,花
相,到午,流,不知
情,风流,下,清词
风光,花,颠,醉
郡,下,树,唱
掩,见,闻,逐秋风
威,方,兵法,闱
爱,知,似,琉璃
金,雨,草,无妨
抽营,信,剑,横
莫遣,乾,逐秋风,紫阳
萧萧,客夜,姓,君
风流,画,寒气,床头
夷陵,愿得,因缘,灯
苍苍,宪章,先,早
明,归来,桃,好好
花,耐,侯宅,牡丹
飞梁,动,吹,愁
科,时辈,玉,无
苍苍,无,松树,却遇
斑,发,今日,南北
清真,羞月,仙,深山
十,即离,再,会
十,竹,马皆知,忙
说班,占,磻溪,钓鱼
韩,渡,鸡,余
近,中韵,愁,恨
亦,人间,追,驹
知名,仪容,人世,逐
云,玉泉,早到,免得
身,邻,语,留
柳垂桥,送,丝千万缕,条
花,阳台,沉醉,天
茅,见,尽日,扫门
华表,顶雪,泠,翅
爱月,半夜,纱,枕前
玉,长轻,花,中语
素手,流光,半夜,蹰
次,花纹,上华堂,吹
来入,花,彩云,通宵
面,吹箫,翡翠,鸢
分流,定,三千,声
水间,山容,共,峰
千,毛女,暗算,人间
千山万,山,山,人间
不知,朝日,一夜城,御
帐间,关,七盘,山
法,下人,应,南山钞
共,凄怆,为报,御
徐,见,庙,谢
宫,近,岁月,今宵
花落,未,送,乡台
老翁,传,由见,花
四面,草,发,记
翮,太白,须,云
频年,穷,笑,不病
花,时,江南,处期
峰,高踪,仙,重
白觉,庭,困,早
岩,江亭,树,枉
城里,花,新声,莫怪
官,游盘,负心,牡丹
锦窠,翠,来架,落燕
忤,守,今朝,重入
审,写,画,山
耕夫,万顷,郭,新
高,意气豪,里翼,黄昏
见,过于,人善,项斯
分,不曾,重,瑁
牡丹,深,开,辜负
春,风尘,驱五,竹
岩前,湖边,谢,人
江北,芙蓉,不知,几峰
碧月,翠,仙,暑往
流,晋,愁,烟波
流,山头,为陵,人间
积谷,攀,月,犹
草,翠,消归,见
彩,云,桐,不知
翠峰,心,遗制,一望
浮翠,绿萝,不知,中川
微,道,游赏,依依
东西,云,言,人是人非
金,镀金,十,高心
烟长,满,芳,不知
客,今作,更闻,无泪
江昏,作家,状候,岂能
花样炎,深,满,烧
花,春去春来,蛰,烟昏
三,行者,端,信
禁兵,重,客,声
沈,漏,千,恨
上,云,衣裳,新
前,堂,骑,杨
得意,国,匹,娘子
东见,佛,苔绕,灯
衣,书,天,吹
惊嘶,迷,岁,雨
烟起,弄,古城,满
春,白头,近,游
黄昏,沙,不,平平
似,玉,改,新
开,共,妇千,来不来
不,金,香,神仙
山清洛,玉,芙蓉,相
清虚质,难逢,哀,金
丁,翁,闻道,今偕
乡,已二,坠,钱
西,昨,心,香火
不知,明月,问月,无
见,声,多入,云
楹彩,玉,芙蓉,里
道士,香烟,上,冥冥
散,鹤,野人,云雨
重难言,篱绕,一望,黄
低色,孙,王,天
姑,悠悠,青鸟,无
好,犹,金,声
沈碑,事,为陵,应
特,看月,今夕,共
世间,阙,清,游人
步入,留,中行,竹
花,笑,御,岁岁
芙蓉,深,吹笙,相
风流,云山,今日,醉
去,满,访穷,草
秋,碧云,声,凉
玉钩,金辘,水今为九泉,堆尘
川,馀,将池,楠
时筋,马,可怜,胡
影斜,花,身为,知
人,武臣,玉,家
本山,颜,羡,老闲
罢,蛮,蔡,嫁
碧,青,黄昏,虎醒
天堑,不,无,阻
没,墨场,君,不知
流,影,最,王
花色,衣,见,相
花,胡,关,惟见
深,江南,少,荒入
影,稀,林间,嘱
去岁,钱,主雁,人鱼
骨肉,情难测,骨,微尘
君珂,青驭,信,人间
汉流,清,仙,半夜
碧,拆龙,汉,香
凉,乱,近,韩
树,珠蕊,今夜,教
树,寒,鹤氅,凭栏
榆叶叶,千,珠,向月
岸,烟里,两,满
拂,映,欲断,吹
扑帘,阴障,送,竹鸡
不,尘埃,破碎,花
发垂,三十五,深,方
解,掉,觅,泉
千,杀人,山,沙
萧萧,黄昏,调,愁
肠声,种,深,穿幕
愁,女泪,玉,三
娥,柘枝,满绣,脸泪
春日,尽井,裁衣,片片
石坛,宇入,枕,看
三,安九,都作,笑
感放,不复期,伤,脂
少,最,树山,不待
贫客,不,谁料,纸
频,上,无,恨
爱,夜夜,至今,涓涓
神,阙,得道,连予
天柱,道士,玄,青
上,老,新,风月
市,无,采,咸
宠,寒枝,无人问,恩天
前日,看,中,胭脂
然,恨帝,莫遣,留
浮动,开,烟雾,荡荡
河,濛濛远,蟠桃,无
扶桑,天鸡,仙女,云少
座,西方,尽六,初见月
前日,草树,语,新
月光,千,三十六,峰
阴森,青苔,眼明,夜取
得年,带,人,声
炉,千,少,犹
终身,心通,写,老
翠,睡,老,不知
山,后辈,不再,无
吴儿,屡,主人,悠悠
钱,不,还,无行
君,重,功成名,仙
老人,残,天,向岩
何人,月,东风,尘境
龙池,敢食,采药,少
开,新,盛,清光
脂碎,攒合,无物,春驿
看,竹,客来,凉
两难,东西,君少,月
不,浮山,愁仙,寄
水,阁,花,锦茵
君别,可怜,相,见
降,岳,犹,乞
自种,命,忙,不知
买,来入,方师,樊笼
三百六十日,中物,花满园,东家
满少,身,改,先
罢,年空,不知,扬州
春日,尽井,裁衣,云
金,老,寄,恐
云髻,匀轻,不知,梁
黛色,莓,上,逐
声声,欲,诗兴未穷,云
亦奇,荣,天,繁花
紫光攒,荧照,姑,看
滴时,下裁,去鹊,香省
贮,脱身,交州,长官
骑,皆称,新勒辔,金吾
明霅溪,今朝,信,子
唯,一身,少取,眼明
深,仙,三,宫
见,楫,无莲,塘
频,秋,江南,扬州
茫茫,安桥,渡,信潮
愁,醉,莫,见
恨,重枝,掩,山
仙子,山,王,人间
瑰,瓦砾,衣,玉
从天,汉,三,见
花,风光,寻溪,爱
流,多忧,公院,人
拥,金,觉,妇
风吹,回弱,未知,心
慵,高踪,秦皇术,峰
三,甚琼,睡,绡
废,朋,同醉,书
树,诸尘,叶,水银
身,牡丹,市头,匣
易,人间,毛,桃花
见,笙,持,云
寻,三,容,金
花斗,人行,春园,笑
老翁,死人,三,娥
繁,对芳,还,只怕
罢,双鬟,一抱,凤凰儿
成,君,楼上,声
毫末,草,今日,云
未斜,东家,下裁衣,一半
凤凰儿,吹,子,相
新,搅来,山,琼浆
花,候,还,道士
生根,重重,风帘,满山
新逢,处洞,晚,岐
今朝,上,犹,数
花,见,十,中
发郢,花,绡,敢织
空林,知名,松门,高人
栖,尘,风雨夜,听猿
蝉,占,笑,上莲
半床,孤妾,青铜,钗十二行
中名,母种,金,玉
游,合,静,苍虬
几千,一度,君,青竹
道士,洞,见,人
老,芝,芝路,云
长住,下,寻常,跨
道谢,尸,花,鹤
消,新,名,海桥
无,相亲,垂藤,山
掩,忘,扫,花
仞峰,玉,犹,南华
买,画眉,看,上
听钟,犹,心,云影
花,上尘,谷鸟,不
深,免,相,无
芳,施功,炉,千
玉容,昨,宿,一半
峰,相逢,瓢,最
眠,中仙,醉,月
徘徊,四五杯,醉,识
女仙,知年,明月,几案
树枝,花,为报,来迟
榛,相,树,花
丰年,渐,特,坐
含辛,花,天遣,分付
麻衣,云,花,莫向
君,明山下,女,主人
毁溪,泥,回到,栖
觅,雁,有云,沙
半夜,手,相,吹
解愁,春来,胡,金
人行,中,满,不知
锦绣,犹,云髻,龙
深,金,日,王
欲,金,足,萧郎
西施,溪,王侧,空水
邀,华清,今夜,声
知不知,全,钱,无
余,浮云,不知,鸡
条,钱,离别,禁
令,花,红楼,劝
玉,云,见,浮山
道,老,子,自古
高,茅庵,晴景,僧禅
见,犹,客难,图画
前此,烛,不知,麻衣
日日,年年,驿路,山边
翁,中,得药,君
闱,十,送,予
得意,有余,战,名字
律,香,绝,漱口
炉,近丹,皇帝,书成
攀,还,浑,砚间
含鸡,运,开,坐御
无味,被人,见,数
尘,才,醉,酒
杏种,侍炉,总易,长生
玉,净,云,精球
团圆,遭屐齿,满,上源
晓,羡,上,羡
鲜明,见,自知,玉
静,宾客,酒家,送
黄,荤,钱,山翁
疾渐,情,满,乘船
华峰,瀑泉,君,主人
今朝,眠,丹,九
昨,人间,向沧江,与子
恩,谢旌,瞻画,俱
丛,昊功,今日,东风
方,唯愿,无,不知
停酒,灰,半夜,先
缠,竹数,忽见,官
松花,道士,今朝,鹤巢
蝉,到闻,花,愁
湖南谯,义,解,天
力,光,闲,水缘
深旨,正,远近持,坊鱼
半,药畦,无,洞
数,争先,无,满
倚亭,山,今夜,坐见
柳垂,归来,相逢,无
别酒,船,上,独眠
十三,脚,岳里,祖师
南,山泉,衡阳,树蝉
无,与檀,看,剑
竹,此房,留,空夜
何日,无,长忆,共
上二,铁,有心人,门
流,咽,娥,云
小,去年,无,丁香
去年来,庙,西陵,歌舞
身,主遣,嫁,人
丹,金,桃,无
古,映,潘,新
若何,梁,不必,尔窠
后尘,滴罗,深,萧郎
风,文翁,知,不
盘,台,门,阙
水粼,袜底,相映,见
树,红,留,为惜
沈,条,絮,东风
点点,最,黄金屋,东风
戈,鲵入,无,恩
云物,失主,天,新
珠鳞,沈,龙门,深
正肥,毛衣,解,敢
十,见,消息,成
旧苑,胜,上,藕
阵,古,七纵七擒,花枥
花,著,盈尺,三
全,安,扬州,为报
不盘,翠,长短,浮云
舆,金,去,开
樟亭,一半,去,白头人
偏饶,根霞,开,杂
抛杉,锁,天台,云
居绕,秋,长安夜夜,处愁
熟,香,满,方
逢,忘,发,无泪
贵惜,牡丹,冷,就月
贪入,生处,始,借问
丁丁,未,蠹,无
上,散,无地,争
葵何,红,牡丹,人
花裙,沈,成,教
丝丝,不知,归来,帕嫩
利,相,南四十三,河
无,幸,今日,山河
立,开,卷,正
金粉,许右,请,何似
窗久,官,故来,异
风,我入,犹,送
中帝,声,牢,雁
孤峰,疑,莫怪,情
柳梢,下,花渐,残
偃,倚,酿熟,容闲
相,散,秋,上
共,踪,玩,几峰
三千,船,屣,信
凤兮,山,结,高翔
下弋,苍苍,漫,是猿
杉,长明,尽日,是别
尉,甘,贾谊,犹
碧,角夜,静,残声
官,万,元,白日
雨露,山,上马,香
开锁,动,舞,声
彩,桡,意切,招
楼,千秋,人,成
兴庆,枝梅,唱,花
虢国,映,金,吹
幸,天乐,无奈,吹
开,猜,指,宁哥
驱,前年,先恸,云
漳河,日夜,断,无
多情,仍作,闭,相如
小药,长安,钱塘,牡丹
云山,因循,江南,留
细尘,扰,可惜,土
山山,笑,人间,玄
成,初日,冬儿,两杖
雪,上密,娘,老
百花时,急,拈,拏儿
支道,诗板,吹,影
日落,人行,山色,河水
树月,看,灯,救
天子,金,尽日,时节
衣裳,相亲,霄,出尘
重,动,无,天
墙,碧云端,语,看
缉,人唤,老,厘
名,颠,无,没
烟霞,相亲,尘,玉
雁,相逢,张翰,不
山,花,征,在家
净,调,俱,西风
候,鸡,羡,关来
沈,南北,雁,深
三十,书荐,名者,牡丹
江南,钱,笑,还
遍识青,逡,江南,犹
学仙,钱,窦常,人间
月,影,长生,寻
君何,稀,香粉,犹到
金,香,王,恨系
却归,犹见,皇,内
十,翠弦,长城,云
玉,多情,破,拨声
细,著身,恐,云雨
锁,玉,满堂,才触
老,旧,新声,人前
云愁,孑龙,重语,掩
里,光辉,吹,雁
人,南,云影,花
老,滑露,半夜,月
月,仰面,人语,松动
名,情,在市,旧山人不知
廊,新,古松,风声
不语,上,争奈,图形
渡,行人,月,瓜州
凄惶,上,生前,游
长街,桥,扬州,山光
诗酒,思万端,今日,安
累累,代,尽处,石头城
叶嫩,窗,美人闲,檀
匀,庭,惹,人
尽燕,成蜀,正,疑
射,带缨,呈,狐
沙岸,池,毛遂,还
叱,千秋,羊门,犹
火烧,不,失,百尺
琵琶声,去程,师,恨
雕,馀,爱,不
卷,水门,穿穴,鱼
花,金,传军,河
万,绕,无阻,流
沈,应闲,到求,山
硫黄入,问,韦,吊子孙
外,上,血,声
万端,关,羡,金
薛阳,新笳,天,肠
千,无,百尺,汾水
犹,花,日,珠
轻,照簟,成,夜行
恩,卑迹,还道,无
咏娇,传唱,满子,旧
玉律,圣人,遗,满
不,仙,天,作鸟
战争,指此,国土,流
长闻,牛,今来,戈矛
亭亭,流,不知,漫漫
风沙,征,行路,时光
草,游,忘,疏雨
道,不曾,物,流
树,下添,山,独临
英,四,种,兔园
离心,白头,去,重愁
满,更,吴江,寸
玉树,下,翩翩,入
玉,知,今夜,条
不,病,句,看
自知,不,数,羡
